X Methods Precision
1.0 auto 0.14307302506560493
1.0 full 0.14772720417458451
1.0 arpack 0.13608119928814885
1.0 randomized 0.1438361535909269
2.0 auto 0.18897837299791875
2.0 full 0.19364763369830784
2.0 arpack 0.19286942358157633
2.0 randomized 0.19286942358157633
3.0 auto 0.24884324193888938
3.0 full 0.2503966458540705
3.0 arpack 0.249618435737339
3.0 randomized 0.2604711489156336
4.0 auto 0.29314692486351157
4.0 full 0.2939251349802431
4.0 arpack 0.2954755225771423
4.0 randomized 0.29547250625886046
5.0 auto 0.3226827134799264
5.0 full 0.31646608150092
5.0 arpack 0.31646608150092
5.0 randomized 0.3242300847585437
6.0 auto 0.40978192018821824
6.0 full 0.41055711398666783
6.0 arpack 0.41055711398666783
6.0 randomized 0.40977588755165445
7.0 auto 0.4385364823696197
7.0 full 0.4361988357011432
7.0 arpack 0.43698006213615664
7.0 randomized 0.4346424154676801
8.0 auto 0.43464844810424397
8.0 full 0.43620185201942513
8.0 arpack 0.43775223961632437
8.0 randomized 0.4361988357011432
9.0 auto 0.44865924652369316
9.0 full 0.4502186830754381
9.0 arpack 0.4502186830754381
9.0 randomized 0.4486622628419751
10.0 auto 0.45722257412602174
10.0 full 0.4595572044762163
10.0 arpack 0.4595572044762163
10.0 randomized 0.4564473803275721
11.0 auto 0.4626609959882967
11.0 full 0.46188278587156517
11.0 arpack 0.46188278587156517
11.0 randomized 0.46188278587156517
12.0 auto 0.4844448466202154
12.0 full 0.48366965282176577
12.0 arpack 0.48366965282176577
12.0 randomized 0.48366965282176577
13.0 auto 0.4797755859198262
13.0 full 0.4797755859198262
13.0 arpack 0.4797755859198262
13.0 randomized 0.4797755859198262
14.0 auto 0.47743793925134986
14.0 full 0.47743793925134986
14.0 arpack 0.47743793925134986
14.0 randomized 0.47743793925134986
15.0 auto 0.4844478629384973
15.0 full 0.4844478629384973
15.0 arpack 0.4844478629384973
15.0 randomized 0.48366965282176577
16.0 auto 0.4898893011190541
16.0 full 0.4898893011190541
16.0 arpack 0.4898893011190541
16.0 randomized 0.4906675112357856
17.0 auto 0.4906614785992218
17.0 full 0.49221488251440293
17.0 arpack 0.49221488251440293
17.0 randomized 0.4914366723976714
18.0 auto 0.4999879347268724
18.0 full 0.4999879347268724
18.0 arpack 0.4999879347268724
18.0 randomized 0.4999879347268724
19.0 auto 0.5116731517509727
19.0 full 0.5116731517509727
19.0 arpack 0.5116731517509727
19.0 randomized 0.5116731517509727
20.0 auto 0.5264500950140258
20.0 full 0.5264500950140258
20.0 arpack 0.5264500950140258
20.0 randomized 0.5264500950140258
21.0 auto 0.524884625825717
21.0 full 0.524884625825717
21.0 arpack 0.524884625825717
21.0 randomized 0.5241064157089855
22.0 auto 0.5326546617199046
22.0 full 0.5326546617199046
22.0 arpack 0.5326546617199046
22.0 randomized 0.5326546617199046
23.0 auto 0.5349802431152535
23.0 full 0.5349802431152535
23.0 arpack 0.5349802431152535
23.0 randomized 0.5349802431152535
24.0 auto 0.534202032998522
24.0 full 0.534202032998522
24.0 arpack 0.534202032998522
24.0 randomized 0.534202032998522
25.0 auto 0.5380870509456157
25.0 full 0.5380870509456157
25.0 arpack 0.5380870509456157
25.0 randomized 0.5380870509456157
26.0 auto 0.5466413295930985
26.0 full 0.545863119476367
26.0 arpack 0.545863119476367
26.0 randomized 0.5466413295930985
27.0 auto 0.544306699242904
27.0 full 0.5435284891261725
27.0 arpack 0.5435284891261725
27.0 randomized 0.544306699242904
28.0 auto 0.5450879256779174
28.0 full 0.5450879256779174
28.0 arpack 0.5450879256779174
28.0 randomized 0.5443097155611859
29.0 auto 0.5458661357946489
29.0 full 0.5458661357946489
29.0 arpack 0.5458661357946489
29.0 randomized 0.5458661357946489
30.0 auto 0.5482007661448436
30.0 full 0.5482007661448436
30.0 arpack 0.5482007661448436
30.0 randomized 0.5482007661448436
31.0 auto 0.5466443459113806
31.0 full 0.5466443459113806
31.0 arpack 0.5466443459113806
31.0 randomized 0.5466443459113806
32.0 auto 0.5466473622296625
32.0 full 0.5466473622296625
32.0 arpack 0.5466473622296625
32.0 randomized 0.5466473622296625
33.0 auto 0.5466473622296625
33.0 full 0.5466473622296625
33.0 arpack 0.5466473622296625
33.0 randomized 0.545869152112931
34.0 auto 0.5466473622296625
34.0 full 0.5466473622296625
34.0 arpack 0.5466473622296625
34.0 randomized 0.5466473622296625
35.0 auto 0.545869152112931
35.0 full 0.5466473622296625
35.0 arpack 0.5466473622296625
35.0 randomized 0.545869152112931
36.0 auto 0.547425572346394
36.0 full 0.547425572346394
36.0 arpack 0.547425572346394
36.0 randomized 0.5466473622296625
37.0 auto 0.5466473622296625
37.0 full 0.5466473622296625
37.0 arpack 0.5466473622296625
37.0 randomized 0.5466473622296625
38.0 auto 0.5466473622296625
38.0 full 0.5466473622296625
38.0 arpack 0.5466473622296625
38.0 randomized 0.5466473622296625
39.0 auto 0.547425572346394
39.0 full 0.547425572346394
39.0 arpack 0.547425572346394
39.0 randomized 0.547425572346394
40.0 auto 0.5466473622296625
40.0 full 0.5466473622296625
40.0 arpack 0.5466473622296625
40.0 randomized 0.5466473622296625
41.0 auto 0.5466473622296625
41.0 full 0.5466473622296625
41.0 arpack 0.5466473622296625
41.0 randomized 0.5466473622296625
42.0 auto 0.5466473622296625
42.0 full 0.5466473622296625
42.0 arpack 0.5466473622296625
42.0 randomized 0.5474225560281121
43.0 auto 0.545869152112931
43.0 full 0.545869152112931
43.0 arpack 0.545869152112931
43.0 randomized 0.545869152112931
44.0 auto 0.5466473622296625
44.0 full 0.5466473622296625
44.0 arpack 0.5466473622296625
44.0 randomized 0.5466473622296625
45.0 auto 0.545869152112931
45.0 full 0.5466473622296625
45.0 arpack 0.5466473622296625
45.0 randomized 0.545869152112931
46.0 auto 0.545869152112931
46.0 full 0.5466473622296625
46.0 arpack 0.5466473622296625
46.0 randomized 0.5466473622296625
47.0 auto 0.545869152112931
47.0 full 0.5466473622296625
47.0 arpack 0.5466473622296625
47.0 randomized 0.5466473622296625
48.0 auto 0.5466473622296625
48.0 full 0.5466473622296625
48.0 arpack 0.5466473622296625
48.0 randomized 0.545869152112931
49.0 auto 0.545869152112931
49.0 full 0.5466473622296625
49.0 arpack 0.5466473622296625
49.0 randomized 0.545869152112931
